ID;Category;Content;HexCode;
68;self-care;You don't need to be perfect to be worthy of love, {user};FFD9D9;
69;self-care;Your soul needs as much watering as your body;FFD9D9;
70;self-care;You are enough, just as you are in this very moment;FFD9D9;
71;self-care;Be proud of how far you've come, {user};FFD9D9;
72;self-care;Choosing yourself is not a crime, it's a necessity;FFD9D9;
73;self-care;Kindness starts with how you talk to yourself;FFD9D9;
74;self-care;Protect your peace. You deserve a quiet heart;FFD9D9;
75;self-care;Your existence is a gift to the world. Don't forget that.;FFD9D9;
76;morning;Rise and shine, {user}! The world is waiting for your light.;FFEAA6;
77;morning;New day, new possibilities. Make it count;FFEAA6;
78;morning;Fuel your body, feed your mind, and start your day.;FFEAA6;
79;morning;Your morning mood sets the tone for the whole day. Choose joy;FFEAA6;
80;morning;Small wins in the morning lead to big victories by sunset;FFEAA6;
81;morning;Drink some water, take a deep breath, and conquer the day;FFEAA6;
82;morning;Believe in yourself as much as I believe in you today, {user}.;FFEAA6;
83;morning;A fresh start is just a sunrise away;FFEAA6;
84;morning;You've got this! Let's make today amazing together;FFEAA6;
85;morning;Your energy is a gift. Use it wisely this morning.;FFEAA6;
86;morning;Wake up with determination, go to bed with satisfaction;FFEAA6;
87;morning;The world is brighter because you are in it, {user}.;FFEAA6;
88;morning;One small positive thought in the morning can change your whole day;FFEAA6;
89;morning;Sending you a little extra sunshine to start your day, {user}!;FFEAA6;
90;morning;A new day , A new gift , and a new beginning ;FFEAA6;
91;night;Rest is not a reward, it is a requirement. Sleep well, {user} ;BBCCF0;
92;night;{user} , You did your best today, and that is more than enough.;BBCCF0;
93;night;Stars can't shine without darkness. Peace be with you, {user};BBCCF0;
94;night;Tonight, focus on your breathing. You are safe and at peace.;BBCCF0;
95;night;Give yourself permission to turn off your thoughts now;BBCCF0;
96;night;Tomorrow is a new page. For now, just rest, {user};BBCCF0;
97;night; You've done great, {user}. Sweet dreams.;BBCCF0;
98;night;Sweet Dreams {user} , sleep well;BBCCF0;
99;night;see you tomorrow ! ;BBCCF0;
100;night;I am proud of you, {user};BBCCF0;
101;self-care;love and accept yourself unconditionally.;FFD9D9;
102;self-care;You are deserving of all the love and happiness in the world.;FFD9D9;
103;self-care;You are worthy of all the good things that come into your life.;FFD9D9;
104;self-care;You are allowed to be both a masterpiece and a work in progress;FFD9D9;
105;self-care;Your worth is not measured by your productivity, but by your existence;FFD9D9;
106;self-care;Be the person you needed when you were younger;FFD9D9;
107;self-care;Speak to yourself with the same kindness you give to others;FFD9D9;
108;self-care;Don't sacrifice your peace to please others; your soul comes first;FFD9D9;
109;self-care;You don't have to 'earn' a break. You deserve to rest because you are human;FFD9D9;
110;self-care;{user}, you are a rare soul with a heart made of gold;FFD9D9;
111;self-care;Reminder: You are doing so much better than you think;FFD9D9;
112;self-care;Be gentle with yourself, {user}. You are blooming in your own time;FFD9D9;
113;self-care;Your smile is the most beautiful thing you can wear today;FFD9D9;
114;self-care;It's okay to take a break and just 'be'. You are not a machine;FFD9D9;
115;self-care;You are worthy of all the good things coming your way, {user};FFD9D9;
116;self-care;Treat yourself like someone you truly love;FFD9D9;
117;self-care;A little bit of self-care goes a long way. Start with a deep breath;FFD9D9;
118;self-care;You have a magical way of making the world a better place;FFD9D9;
119;self-care;Your heart is a garden. Water it with kindness today;FFD9D9;
120;self-care;I am proud of you , sweet soul ;FFD9D9;
121;self-care;Smile , because you deserve to be happy ;FFD9D9;
122;self-care;You are filled with confidence and self-assurance,{user};FFD9D9;
123;self-care;embrace your imperfections ;FFD9D9;
124;self-care;Focus on the positive aspects of yourself.;FFD9D9;
125;stress;Inhale peace, exhale the 'what-ifs'. You are okay right now.;E4F7E4;
126;stress;Your stress is a cloud, but you are the sky. Clouds always pass;E4F7E4;
127;stress;Don't let the noise of the future drown out the peace of today;E4F7E4;
128;stress;Take it bird by bird, {user}. One small step is enough for now;E4F7E4;
129;stress;You don't have to carry the whole world on your shoulders today;E4F7E4;
130;stress;Stress is a feeling, not a fact. Trust your strength instead;E4F7E4;
131;morning;Today is a blank canvas, and you are the artist. Paint it with joy!;FFEAA6;
132;morning;Good morning! Your potential is as endless as the morning sky;FFEAA6;
133;morning;Small progress is still progress. Keep moving forward today, {user};FFEAA6;
134;morning;Wake up with a heart full of gratitude and watch your day change.;FFEAA6;
135;morning;You are the 'Hikari' (light) this morning needs. Shine on!;FFEAA6;
136;morning;Every morning brings a new opportunity to be better than yesterday.;FFEAA6;
137;morning;Don't just wake up, show up for yourself today, {user}.;FFEAA6;
138;morning;The best way to predict your future is to create it this morning;FFEAA6;
139;morning;Smile at the mirror; you're looking at someone who can handle anything;FFEAA6;
140;morning;If you can't see the sun , be the sun {user}.;FFEAA6;
141;anxiety;It's okay to not have all the answers right now.;CDE6EF;
142;anxiety;Trust the process,{user};CDE6EF;
143;anxiety;This moment is temporary, but your strength is permanent.;CDE6EF;
144;anxiety;Focus on the next five minutes, not the next five years;CDE6EF;
145;anxiety;Your pace is perfect;CDE6EF;
146;anxiety;There is no need to rush your healing,{user}.;CDE6EF;
147;anxiety;Let the tension go, {user}.;CDE6EF;
148;anxiety;Give yourself the same grace you give to your best friend.;CDE6EF;
149;anxiety;Deep breaths ,{user} ,you are going to be okay .;CDE6EF;
150;anxiety;You are safe here,{user};CDE6EF;
151;anxiety;keep your heart beating ;CDE6EF;
152;anxiety;You are surrounded with peace , {user}.;CDE6EF;
153;anxiety;Softly remind yourself: I am doing the best I can.;CDE6EF;
154;anxiety;Your heart is a safe place, {user}. Let peace dwell there;CDE6EF;
155;anxiety;Sending you a warm hug through these words. You've got this!;CDE6EF;
156;anxiety;Every breath you take is a sign of your strength, {user};CDE6EF;
157;anxiety;You are more precious than you realize.;CDE6EF;
158;anxiety;Release the heavy thoughts {user}; today is done. Tomorrow is new;CDE6EF;
159;anxiety;I promise you {user}, you are going to be okay .;CDE6EF;
160;anxiety;You are surrounded with love, care , and peace , {user}.;CDE6EF;
161;failure;Failure is a bruise, not a tattoo. It will fade, {user}.;#f9ffac;
162;failure;You didn't fail; you just found a way that doesn't work;#f9ffac;
163;failure;Mistakes are proof that you are trying, {user}. Keep going!;#f9ffac;
164;failure;Your value doesn't decrease based on a single mistake;#f9ffac;
165;failure;It's okay to be a beginner. Everyone starts somewhere;#f9ffac;
166;failure;Don't fear failure; fear staying exactly where you are;#f9ffac;
167;failure;Take the lesson, leave the regret, {user};#f9ffac;
168;failure;Growth is messy. It's okay if today was a struggle;#f9ffac;
169;failure;Your comeback will be stronger than your setback.;#f9ffac;
170;failure;One bad chapter doesn't mean the story is over;#f9ffac;
171;failure;Fall seven times, stand up eight, {user};#f9ffac;
172;failure;Failure is just life's way of redirecting you.;#f9ffac;
173;failure;Be proud of yourself for having the courage to try;#f9ffac;
174;failure;Success is built on a foundation of lessons learned;#f9ffac;
175;failure;The only real failure is giving up, {user};#f9ffac;
176;failure;You are learning, growing, and becoming better every day;#f9ffac;
177;failure;Give yourself permission to make mistakes,{user};#f9ffac;
178;failure;A diamond is a piece of coal that handled stress exceptionally well;#f9ffac;
179;failure;Your potential is not limited by your past mistakes;#f9ffac;
180;failure;Everything you want is on the other side of fear, {user};#f9ffac;
181;failure;Strength grows in the moments you think you can't go on.;#f9ffac;
182;failure;Trust the timing of your life. You are not late;#f9ffac;
183;failure;The master has failed more times than the beginner has tried;#f9ffac;
184;failure;Each mistake is a hidden gift of wisdom, {user};#f9ffac;
185;failure;{user},focus on progress, not perfection;#f9ffac;
186;failure;You are resilient. You have survived hard days before;#f9ffac;
187;failure;Take a deep breath. A restart is always allowed;#f9ffac;
188;failure;Don't let a bad day convince you that you have a bad life;#f9ffac;
189;failure;Your journey is unique, {user}. Stop comparing your 'behind the scenes' to others;#f9ffac;
190;failure;Great things take time. Be patient with your growth;#f9ffac;
191;failure;Challenges make life interesting; overcoming them makes life meaningful;#f9ffac;
192;failure;You are allowed to rest without feeling guilty,{user};#f9ffac;
193;failure;Keep your head up, {user}. Your light is still shining;#f9ffac;
194;failure;Failure is the tuition you pay for success;#f9ffac;
195;failure;Believe in your ability to bounce back, {user};#f9ffac;
196;failure;The sun will rise tomorrow, and so will you;#f9ffac;
197;failure;Every day is a fresh start to try again;#f9ffac;
198;failure;You are much stronger than your current struggle;#f9ffac;
199;failure;{user}! You are doing amazing>>>;#f9ffac;
200;gratitude;I am grateful for the morning sun that wakes up my soul.;#ffd4a3;
201;gratitude;Gratitude is the secret ingredient to a happy heart, {user};#ffd4a4;
202;gratitude;Today, I am thankful for the breath in my lungs and the life in my body;#ffd4a5;
203;gratitude;I appreciate the kindness of strangers and the love of friends;#ffd4a6;
204;gratitude;Being alive is a gift. Today, I choose to unwrap it with joy;#ffd4a7;
205;gratitude;I am grateful for my challenges; they made me who I am today;#ffd4a8;
206;gratitude;A grateful heart is a magnet for miracles, {user};#ffd4a9;
207;gratitude;I am thankful for the quiet moments that allow me to hear my soul.;#ffd4a10;
208;gratitude;Thank you, {user}, for never giving up on yourself;#ffd4a11;
209;gratitude;Thank you, {user}, for being kind to yourself and every creature .;#ffd4a12;
210;gratitude;Small wins are still wins. I am grateful for every step forward;#ffd4a13;
211;gratitude;Today I celebrate the simple joy of a good laugh;#ffd4a14;
212;gratitude;I am thankful for my cozy bed and the safety of my home.;#ffd4a15;
213;gratitude;Gratitude turns what we have into more than enough;#ffd4a16;
214;gratitude;I am grateful for the ability to learn and grow every single day;#ffd4a17;
215;gratitude;Thank you for the colors of the sunset and the magic of the stars;#ffd4a18;
216;gratitude;I appreciate my body for everything it does for me;#ffd4a19;
217;gratitude;Every day is a gift, and I am grateful to be here;#ffd4a20;
218;gratitude;I am grateful for the smell of rain and the freshness of the air.;#ffd4a21;
219;gratitude;Thank you for the technology that lets me build my dreams;#ffd4a22;
220;gratitude;I am thankful for my pets;#ffd4a23;
221;gratitude;I appreciate the progress I've made, no matter how small.;#ffd4a24;
222;gratitude;Gratitude is the memory of the heart;#ffd4a25;
223;gratitude;I am grateful for the freedom to choose my own path;#ffd4a26;
224;gratitude;Thank you for the books that take me to different worlds;#ffd4a27;
225;gratitude;I am thankful for the opportunity to help others;#ffd4a28;
226;gratitude;I appreciate the beauty in the little things;#ffd4a29;
227;gratitude;My heart is full of gratitude for this very moment;#ffd4a30;
228;gratitude;I am grateful for the people who believe in me;#ffd4a31;
229;gratitude;Thank you for the strength to overcome my bad days;#ffd4a32;
230;gratitude;I am thankful for the food on my plate and the water I drink;#ffd4a33;
231;gratitude;I appreciate the silence of the night and the peace it brings.;#ffd4a34;
232;gratitude;Gratitude makes sense of our past, brings peace for today;#ffd4a35;
233;gratitude;I am grateful for my creative mind and my big dreams;#ffd4a36;
234;gratitude;Thank you for the chance to start over every morning;#ffd4a37;
235;gratitude;I am thankful for the lessons learned through failure;#ffd4a38;
236;gratitude;I appreciate the love that surrounds me, seen and unseen;#ffd4a39;
237;gratitude;You are doing great, {user};#ffd4a40;
238;gratitude;Every small step forward is a victory. Be proud, {user}.;#ffd4a41;
239;gratitude;Your light is returning,{user}.;#ffd4a42;
240;gratitude;Be patient with yourself. Nothing in nature blooms all year;#ffd4a43;
241;gratitude;Take a moment to appreciate how far you have come;#ffd4a4;
242;gratitude;You have the power to create a beautiful life, one day at a time;#ffd4a45;
243;gratitude;Joy is the simplest form of gratitude.;#ffd4a46;
244;gratitude;Be thankful for what you have,you'll end up having more.;#ffd4a47;
245;gratitude;Gratitude is the healthiest of all human emotions.;#ffd4a48;
246;gratitude;Choose gratitude every single day;#ffd4a49;
247;gratitude;Gratitude makes everything brighter;#ffd4a50;
248;gratitude;Blessed and grateful, always;#ffd4a51;
249;gratitude;Gratitude mode on,{user}. ;#ffd4a52;
250;gratitude;Gratitude is a gift,{user};#ffd4a53;
251;gratitude;The world is gratful for your kind soul ,{user};#ffd4a53;
252;Productivity ;The only way to do great work is to love what you do;#cde8ef;
253;Productivity ;Don't wait for inspiration; create it with action, {user};#cde8ef;
254;Productivity ;Your future is created by what you do today, not tomorrow;#cde8ef;
255;Productivity ;One hour of focus is worth three hours of distraction;#cde8ef;
256;Productivity ;You are the CEO of your life. Hire, fire, and promote yourself accordingly;#cde8ef;
257;Productivity ;Stop scrolling, start building. Your dreams are waiting, {user}!;#cde8ef;
258;Productivity ;A river cuts through rock, not because of its power, but because of its persistence;#cde8ef;
259;Productivity ;Work hard in silence; let your success be your noise;#cde8ef;
260;Productivity ;You're almost at the finish line. Don't stop now!;#cde8ef;
261;Productivity ;Success doesn't come to you; you go to it;#cde8ef;
262;Productivity ;Your focus determines your reality, {user};#cde8ef;
263;Productivity ;Do something today that your future self will thank you for;#cde8ef;
264;Productivity ;It's not about having time; it's about making time.;#cde8ef;
265;Productivity ;Action is the foundational key to all success;#cde8ef;
266;Productivity ;Starve your distractions, feed your focus;#cde8ef;
267;Productivity ;Difficult roads often lead to beautiful destinations;#cde8ef;
268;Productivity ;{user},You are capable of more than you know.;#cde8ef;
269;Productivity ;Every expert was once a beginner. Keep practicing;#cde8ef;
270;Productivity ;A year from now, you will wish you had started today,{user};#cde8ef;
271;Productivity ;The secret of getting ahead is getting started.;#cde8ef;
272;Productivity ;Don't stop until you're proud, {user};#cde8ef;
273;Productivity ;Believe you can, and you're halfway there;#cde8ef;
274;Productivity ;Your mind is a powerful tool. Use it to build your empire.   ;#cde8ef;
275;Productivity ;Quality is not an act, it is a habit.;#cde8ef;
276;Productivity ;push your limits,{user}.;#cde8ef;
277;Productivity ;Your only limit is your mind, {user};#cde8ef;
278;Productivity ;Dream big. Work hard. Stay humble.;#cde8ef;
279;Productivity ;You are a legend,{user}!;#cde8ef;
280;Productivity ;The harder you work for something, the greater you'll feel when you achieve it;#cde8ef;
281;Productivity ;Wake up with determination. Go to bed with satisfaction;#cde8ef;
282;Productivity ;Success is what happens after you survive all your mistakes.;#cde8ef;
283;Productivity ;Don't decrease the goal. Increase the effort, {user}.;#cde8ef;
284;Productivity ;You don't need to see the whole staircase, just take the first step.;#cde8ef;
285;Productivity ;Success starts with a state of mind. If you want a big life, think big;#cde8ef;
286;Productivity ;Everything is hard before it is easy.;#cde8ef;
287;Productivity ;Consistency is the bridge between goals and accomplishment;#cde8ef;
288;Productivity ;Make today count. You won't get this day back;#cde8ef;
289;Productivity ;Time is money.;#cde8ef;
290;Productivity ;Small steps every day lead to big results;#cde8ef;
291;Productivity ;Focus on progress, not perfection,{user}.;#cde8ef;
292;Productivity ;Success is built on consistency, not just intensity;#cde8ef;
293;Productivity ;You don't need more time; you need more focus;#cde8ef;
294;Productivity ;Dream big, start small, stay consistent;#cde8ef;
295;Productivity ;{user},You're capable of amazing things!;#cde8ef;
296;Productivity ;Choose progress today,{user};#cde8ef;
297;Productivity ;{user}, Believe in your own magic>>>;#cde8ef;
298;Productivity ;Little effort, big change;#cde8ef;
299;Productivity ;Your energy creates your reality;#cde8ef;
300;Productivity ;Start now, shine later;#cde8ef;
